"pv","date","E_1","E_2","E_3","E_4","E_5","E_6","E_7"
"Jiangsu",2020-02-03,5.77311262363823,18.9470709462091,42.3293128653573,79.4067968917323,135.276995676976,210.744331033504,310.134212758589
"Jiangsu",2020-02-04,4.54459940746072,15.4667043711006,34.6787269248498,65.3403460452423,111.157522734977,177.327814033701,264.711044446524
"Jiangsu",2020-02-05,3.9183785085015,12.8698621898635,28.7849294225959,53.8520445641544,91.5724536978746,145.864483879352,222.022743675997
"Jiangsu",2020-02-06,3.75616640977001,11.960271411945,25.7317847678866,47.107904482439,78.5790271419138,124.019987852711,187.581389040783
"Jiangsu",2020-02-07,2.97371920441593,10.0567758628394,22.0568100451252,40.0974925414087,66.3105444541444,103.453788058059,155.732951594268
"Jiangsu",2020-02-08,2.53263496318343,8.2882205201175,18.4835293466361,34.0345940522514,56.0690154217579,86.8069393908588,129.256360652476
"Jiangsu",2020-02-09,1.86589917456788,6.49450790038587,14.5523276800936,27.3232934733116,45.8131420603031,71.1527266352355,105.635372306156
"Jiangsu",2020-02-10,1.57425853089788,5.2283110810933,11.8655613294361,22.1296889059685,37.3689926256069,58.6751757655838,87.1822084123828
"Jiangsu",2020-02-11,1.76680730676108,5.25755448396942,11.088489404494,20.1710423759105,33.1211098790121,51.3653467264665,76.1001110613822
"Jiangsu",2020-02-12,1.62246062991421,5.09297498248063,10.4317647829169,18.3618362748304,29.8023597292107,45.3424407329327,66.4842916679239
"Jiangsu",2020-02-13,1.30922707762015,4.31378379968351,9.23560415423224,16.1486524855664,25.8668773531074,39.3160423300126,57.0624311305592
"Jiangsu",2020-02-14,0.56849518458129,2.50387434280238,6.16943354371968,11.7853567687817,19.4513113540235,30.0247400099082,44.4345596280208
"Jiangsu",2020-02-15,0.547803536927154,1.7881566669227,4.46353373858126,8.91027768723503,15.3465043047218,23.9022571900364,35.4863812321453
"Jiangsu",2020-02-16,0.263515766755233,1.19056790617042,2.89605345991429,6.08373677933726,11.0713009379624,18.075429904051,27.2471969971082
"Jiangsu",2020-02-17,0.0572312793081094,0.408585634981754,1.46205397522628,3.32258367021959,6.68103573889737,11.8488733008463,19.0423030498022
"Jiangsu",2020-02-18,0.0277443632224305,0.123129828735946,0.533043243688531,1.67078905115262,3.63468150697889,7.1069794084932,12.3949992393247
"Jiangsu",2020-02-19,0,0.0277443632224305,0.123129828735946,0.533043243688531,1.67078905115262,3.63468150697889,7.1069794084932
"Jiangsu",2020-02-20,0,0,0.0277443632224305,0.123129828735946,0.533043243688531,1.67078905115262,3.63468150697889
"Jiangsu",2020-02-21,0,0,0,0.0277443632224305,0.123129828735946,0.533043243688531,1.67078905115262
"Jiangxi",2020-01-26,7.94558260719089,29.3644274152658,NA,NA,NA,NA,NA
"Jiangxi",2020-01-27,12.7286556490921,36.5654034706648,75.1193241251996,NA,NA,NA,NA
"Jiangxi",2020-01-28,16.1769711441479,48.5289709189237,96.8645984460016,161.835094363829,NA,NA,NA
"Jiangxi",2020-01-29,21.7703336747765,61.1197229443255,121.580837277513,205.009454653017,307.819909731777,NA,NA
"Jiangxi",2020-01-30,30.5020946481528,84.3117873159965,157.763980619155,259.593225811892,394.668130134137,553.167581713891,NA
"Jiangxi",2020-01-31,15.8965797166967,64.3870891573498,137.091788410849,230.65589178511,356.88172697194,522.414697955083,713.756378240552
"Jiangxi",2020-02-01,13.0973611106874,45.2360983640089,112.106075092652,204.116541944537,318.229770826229,469.382556659198,666.035726187172
"Jiangxi",2020-02-02,12.6150307846875,41.8750928404785,94.057343649635,183.608365116648,299.442970706968,438.914694895702,620.828398547311
